Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL
15772,Ms Saga: A New Dawn,PS2,2006,Feb,21,undefined,Bandai  ,Bandai  ,,,0.02,0.02,,0.01,0.05,https://www.vgchartz.com/game/1439/ms-saga-a-new-dawn/?region=All
15773,Cartoon Network Racing,DS,2006,Dec,05,undefined,Game Factory  ,Unknown  ,,,0.04,0.0,,0.0,0.05,https://www.vgchartz.com/game/4949/cartoon-network-racing/?region=All
15774,Finny the Fish & the Seven Waters,PS2,2005,May,17,undefined,Natsume  ,SCEI  ,,,0.02,0.02,,0.01,0.05,https://www.vgchartz.com/game/770/finny-the-fish-amp-the-seven-waters/?region=All
15775,Barnyard,GBA,2006,Aug,01,undefined,THQ  ,Halfbrick Studios  ,5.6,,0.03,0.01,,0.0,0.05,https://www.vgchartz.com/game/15086/barnyard/?region=All
15776,The Grim Adventures Of Billy & Mandy,Wii,2006,Nov,16,undefined,Midway Games  ,High Voltage Software  ,6.6,,0.04,0.0,,0.0,0.05,https://www.vgchartz.com/game/5826/the-grim-adventures-of-billy-amp-mandy/?region=All
15777,Next Generation of Chaos,PS2,2002,Apr,25,undefined,Idea Factory  ,Neverland  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/3402/next-generation-of-chaos/?region=All
15778,GrimGrimoire,PS2,2007,Jun,26,undefined,NIS America  ,Vanillaware  ,7.7,,0.01,0.01,0.03,0.0,0.05,https://www.vgchartz.com/game/3432/grimgrimoire/?region=All
15779,Katekyoo Hitman Reborn! DS: Bongole Shiki Taisen Battle Sugoroku,DS,2008,Mar,27,undefined,Takara Tomy   ,Takara Tomy  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/18538/katekyoo-hitman-reborn-ds-bongole-shiki-taisen-battle-sugoroku/?region=All
15780,Capcom vs. SNK: Millennium Fight 2000 Pro,DC,2001,Jun,14,undefined,Capcom  ,Capcom  ,6.9,,,,0.05,0.0,0.05,https://www.vgchartz.com/game/2973/capcom-vs-snk-millennium-fight-2000-pro/?region=All
15781,Golden Axe: The Duel,SAT,1995,Jan,01,undefined,Sega  ,Sega  ,,,,,0.05,0.0,0.05,https://www.vgchartz.com/game/3416/golden-axe-the-duel/?region=All
15782,J-League '96 Dream Stadium,SNES,1996,Jun,01,undefined,Hudson Soft  ,Hudson Soft  ,,,,,0.05,0.0,0.05,https://www.vgchartz.com/game/3514/j-league-96-dream-stadium/?region=All
15783,Crime Life: Gang Wars,XB,2005,Nov,22,undefined,Konami  ,Hothouse Creations  ,,,0.04,0.01,,0.0,0.05,https://www.vgchartz.com/game/420/crime-life-gang-wars/?region=All
15784,Tokimeki Memorial: Girls Side 1st Love,DS,2007,Mar,15,undefined,Konami  ,Konami  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/4594/tokimeki-memorial-girls-side-1st-love/?region=All
15785,Rugby 2005,XB,2005,Mar,08,undefined,EA Sports  ,HB Studios Multimedia  ,,,0.04,0.01,,0.0,0.05,https://www.vgchartz.com/game/1948/rugby-2005/?region=All
15786,Rock 'N Roll Racing,GBA,2003,Jun,23,undefined,Blizzard Entertainment  ,Mass Media  ,,,0.03,0.01,,0.0,0.05,https://www.vgchartz.com/game/28209/rock-n-roll-racing/?region=All
15787,Taito Legends,XB,2005,Oct,25,undefined,Sega  ,Empire Oxford  ,,,0.04,0.01,,0.0,0.05,https://www.vgchartz.com/game/2318/taito-legends/?region=All
15788,Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,2017,Jan,17,undefined,Tecmo Koei  ,Unknown  ,,,,0.0,0.05,0.0,0.05,https://www.vgchartz.com/game/94665/atelier-shallie-plus-alchemists-of-the-dusk-sea/?region=All
15789,Silhouette Mirage,PS,1999,Dec,31,undefined,Working Designs  ,"Treasure Co., Ltd.  ",,,0.03,0.02,,0.0,0.05,https://www.vgchartz.com/game/23435/silhouette-mirage/?region=All
15790,Dynasty Warriors Vol. 2,PSP,2006,Oct,24,undefined,KOEI  ,Omega Force  ,,,0.04,0.0,,0.0,0.05,https://www.vgchartz.com/game/611/dynasty-warriors-vol-2/?region=All
15791,Gaist Crusher,3DS,2013,Dec,05,undefined,Capcom  ,"Treasure Co., Ltd.  ",,,,,0.05,,0.05,https://www.vgchartz.com/game/75710/gaist-crusher/?region=All
15792,Battle Chasers: Nightwar,NS,2018,May,15,undefined,THQ Nordic  ,Airship Syndicate  ,8.5,,0.03,0.01,,0.0,0.05,https://www.vgchartz.com/game/179406/battle-chasers-nightwar/?region=All
15793,Treasure Report: Kikai Jikake no Isan,DS,2011,May,26,undefined,Namco Bandai  ,Namco Bandai Games  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/50319/treasure-report-kikai-jikake-no-isan/?region=All
15794,Growlanser VI: Precarious World,PS2,2007,Jun,21,undefined,Atlus  ,Career Soft  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/6773/growlanser-vi-precarious-world/?region=All
15795,Yu-Gi-Oh! World Championship 2007,DS,2007,Mar,20,undefined,Konami  ,Konami  ,,,,0.01,0.04,0.0,0.05,https://www.vgchartz.com/game/4785/yu-gi-oh-world-championship-2007/?region=All
15796,B-Boy,PSP,2008,Sep,16,undefined,SouthPeak Interactive  ,Unknown  ,,,0.04,0.0,,0.0,0.05,https://www.vgchartz.com/game/15627/b-boy/?region=All
15797,Block Kuzushi,SNES,1995,Nov,17,undefined,Pow  ,Planning Office Wada  ,,,,,0.05,0.0,0.05,https://www.vgchartz.com/game/2927/block-kuzushi/?region=All
15798,LEGO Indiana Jones 2: The Adventure Continues,PC,2009,Nov,17,undefined,LucasArts  ,Traveller's Tales  ,6.8,,0.02,0.03,,0.01,0.05,https://www.vgchartz.com/game/34923/lego-indiana-jones-2-the-adventure-continues/?region=All
15799,American Bass Challenge,GBA,2001,Dec,05,undefined,Ubisoft  ,Starfish  ,6.7,,0.03,0.01,,0.0,0.05,https://www.vgchartz.com/game/26118/american-bass-challenge/?region=All
15800,American Chopper 2: Full Throttle,GC,2005,Nov,29,undefined,Activision  ,Creat Studio  ,,,0.04,0.01,,0.0,0.05,https://www.vgchartz.com/game/4823/american-chopper-2-full-throttle/?region=All
15801,Rugby 06,PS2,2006,Feb,14,undefined,EA Sports  ,HB Studios Multimedia  ,,,0.02,0.02,,0.01,0.05,https://www.vgchartz.com/game/5654/rugby-06/?region=All
15802,Ultimate Ghosts 'n Goblins (JP sales),PSP,2006,Aug,29,undefined,Capcom  ,Capcom  ,,,,,0.05,,0.05,https://www.vgchartz.com/game/4641/ultimate-ghosts-n-goblins-jp-sales/?region=All
15803,Fatal Frame II: Crimson Butterfly Director's Cut,XB,2004,Nov,01,undefined,Tecmo  ,Tecmo  ,8.7,,0.04,0.01,,0.0,0.05,https://www.vgchartz.com/game/717/fatal-frame-ii-crimson-butterfly-directors-cut/?region=All
15804,2002 FIFA World Cup,GC,2002,Apr,30,undefined,EA Sports  ,EA Canada  ,7.4,,0.04,0.01,,0.0,0.05,https://www.vgchartz.com/game/4805/2002-fifa-world-cup/?region=All
