Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales,URL,New_Genre
9054,Crazy Taxi 3: High Roller,XB,2002.0,Jul,24.0,undefined,Sega  ,Hitmaker  ,,,0.14,0.04,0.02,0.01,0.2,https://www.vgchartz.com/game/3024/crazy-taxi-3-high-roller/?region=All,Racing
9055,Midnight Club 3: DUB Edition Remix,XB,2006.0,Mar,13.0,undefined,Rockstar Games  ,Rockstar San Diego  ,,,0.15,0.04,,0.01,0.2,https://www.vgchartz.com/game/1352/midnight-club-3-dub-edition-remix/?region=All,Racing
9056,International Superstar Soccer 2000,PS2,2000.0,Aug,3.0,undefined,Konami  ,Konami Computer Entertainment Osaka  ,,,,,0.2,,0.2,https://www.vgchartz.com/game/4716/international-superstar-soccer-2000/?region=All,Sports
9057,FEMINAZI: The Triggering,PC,,,,undefined,Unknown  ,hyperboreanGames  ,,,,,,,,https://www.vgchartz.com/game/223734/feminazi-the-triggering/?region=All,undefined
9058,CandyLand / Chutes & Ladders / Memory,GBA,2005.0,Nov,7.0,undefined,DSI Games  ,Black Lantern Studios  ,,,0.15,0.05,,0.0,0.2,https://www.vgchartz.com/game/26373/candyland-chutes-amp-ladders-memory/?region=All,Misc
9059,Kung Fu Rider,PS3,2010.0,Sep,17.0,undefined,Sony Computer Entertainment  ,SCE Japan Studio  ,4.3,,0.06,0.1,0.01,0.04,0.2,https://www.vgchartz.com/game/45772/kung-fu-rider/?region=All,Action
9060,The Amazing Spider-Man (2012),DS,2012.0,Jun,26.0,undefined,Activision  ,Other Ocean Interactive  ,,,0.15,0.03,,0.02,0.2,https://www.vgchartz.com/game/65640/the-amazing-spider-man-2012/?region=All,undefined
9061,The Bible Game,PS2,2005.0,Oct,23.0,undefined,Crave Entertainment  ,Crave Entertainment  ,,,0.1,0.08,,0.03,0.2,https://www.vgchartz.com/game/5823/the-bible-game/?region=All,Misc
9062,Major League Baseball 2K11,PS3,2011.0,Mar,8.0,undefined,2K Sports  ,Visual Concepts  ,,,0.15,0.03,,0.02,0.2,https://www.vgchartz.com/game/48931/major-league-baseball-2k11/?region=All,Sports
9063,Drift King Shutokou Battle '94,SNES,1994.0,May,27.0,undefined,BPS  ,Genki  ,,,,,0.2,,0.2,https://www.vgchartz.com/game/4608/drift-king-shutokou-battle-94/?region=All,Racing
9064,Shining Blade,PSP,2012.0,Mar,15.0,undefined,Sega  ,Media.Vision  ,,,,,0.2,,0.2,https://www.vgchartz.com/game/65595/shining-blade/?region=All,Role-Playing
9065,Volgarr the Viking,PC,2013.0,Sep,13.0,undefined,Adult Swim  ,Unknown  ,,,,,,,,https://www.vgchartz.com/game/75785/volgarr-the-viking/?region=All,undefined
9066,Need for Speed Carbon: Own the City,DS,2006.0,Oct,31.0,undefined,Electronic Arts  ,EA Black Box  ,,,0.17,0.01,,0.02,0.2,https://www.vgchartz.com/game/5482/need-for-speed-carbon-own-the-city/?region=All,Racing
9067,Hard West,PC,,,,undefined,Unknown  ,CreativeForge Games  ,6.4,,,,,,,https://www.vgchartz.com/game/220485/hard-west/?region=All,undefined
9068,Job Simulator,PC,2016.0,Apr,5.0,undefined,Owlchemy Labs  ,Owlchemy Labs  ,,,,,,,,https://www.vgchartz.com/game/169960/job-simulator/?region=All,undefined
9069,The Ultimate Red Ball Challenge,Wii,2009.0,Nov,6.0,undefined,Mindscape  ,Mindscape Inc.  ,,,,0.19,,0.01,0.2,https://www.vgchartz.com/game/50851/the-ultimate-red-ball-challenge/?region=All,Misc
9070,PBR: Out of the Chute,PS2,2008.0,Oct,28.0,undefined,Crave Entertainment  ,D2C Games  ,,,0.1,0.08,,0.03,0.2,https://www.vgchartz.com/game/28569/pbr-out-of-the-chute/?region=All,Sports
9071,The King of Fighters Collection: The Orochi Saga,PS2,2008.0,Oct,28.0,undefined,SNK Playmore  ,SNK Playmore Corporation  ,,,0.1,0.08,,0.03,0.2,https://www.vgchartz.com/game/26077/the-king-of-fighters-collection-the-orochi-saga/?region=All,Fighting
9072,Jikkyou Powerful Pro Yakyuu 10 Chou Ketteiban: 2003 Memorial,PS2,2003.0,Dec,18.0,undefined,Konami  ,Diamond Head  ,,,,,0.2,,0.2,https://www.vgchartz.com/game/4053/jikkyou-powerful-pro-yakyuu-10-chou-ketteiban-2003-memorial/?region=All,Sports
9073,Port Royale 3,PC,2012.0,Oct,2.0,undefined,Kalypso Media  ,Gaming Minds Studios  ,,,0.01,0.0,,0.0,0.01,https://www.vgchartz.com/game/70132/port-royale-3/?region=All,Simulation
9074,Tiny Bridge: Ratventure,PC,,,,undefined,Unknown  ,Estelion  ,,,,,,,,https://www.vgchartz.com/game/223735/tiny-bridge-ratventure/?region=All,undefined
9075,STARUSHKO LUB,PC,,,,undefined,Unknown  ,Unknown  ,,,,,,,,https://www.vgchartz.com/game/223736/starushko-lub/?region=All,undefined
9076,We Sing Robbie Williams,Wii,2010.0,Nov,12.0,undefined,Nordic Games  ,Le Cortex  ,,,,0.18,,0.02,0.2,https://www.vgchartz.com/game/46294/we-sing-robbie-williams/?region=All,Misc
9077,Enchanted Arms,PS3,2007.0,Apr,3.0,undefined,Ubisoft  ,From Software  ,5.9,,0.17,0.01,,0.02,0.2,https://www.vgchartz.com/game/6072/enchanted-arms/?region=All,Role-Playing
9078,Major League Baseball 2K12,PS3,2012.0,Mar,6.0,undefined,Take-Two Interactive  ,"Visual Concepts, Ltd.  ",,,0.18,,,0.02,0.2,https://www.vgchartz.com/game/70393/major-league-baseball-2k12/?region=All,Sports
