Rank,Name,Platform,Year,Month,Date,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
333,Crysis,Series,2007,Nov,13,undefined,Electronic Arts  ,Crytek  ,,,,,,,
334,Call of Duty: World at War,X360,2008,Nov,10,undefined,Activision  ,Treyarch  ,8.5,7.8,4.88,1.91,,0.71,7.5
335,Baldur's Gate,Series,2000,Jul,31,undefined,Interplay Entertainment Corp.  ,BioWare  ,,,,,,,
336,Super Mario Bros. 2,NES,1988,Oct,01,undefined,Nintendo  ,Nintendo EAD  ,,,5.39,1.18,0.7,0.19,7.46
337,New Super Mario Bros. U Deluxe,NS,2019,Jan,11,undefined,Nintendo  ,Nintendo EPD  ,,6.6,,,,,
338,Super Mario Galaxy 2,Wii,2010,May,23,undefined,Nintendo  ,Nintendo EAD Tokyo  ,9.7,9.8,3.59,2.37,0.98,0.62,7.57
339,Super Smash Bros. Melee,GC,2001,Dec,02,undefined,Nintendo  ,HAL Laboratory  ,9.2,,4.41,1.04,1.39,0.22,7.07
340,Call of Duty: Black Ops 3,XOne,2015,Nov,06,undefined,Activision  ,Treyarch  ,,,4.63,2.04,0.02,0.68,7.37
341,Battlefield 3,X360,2011,Oct,25,undefined,Electronic Arts  ,Dice  ,8.5,,4.47,2.12,0.06,0.69,7.35
342,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,2016,Sep,30,undefined,Nintendo  ,Level 5  ,,,0.22,0.2,3.19,0.04,3.65
343,Ark,Series,2017,Aug,27,undefined,Studio Wildcard  ,Studio Wildcard  ,,,,,,,
344,The Legend of Zelda: Twilight Princess,Wii,2006,Nov,19,undefined,Nintendo  ,Nintendo EAD  ,9.5,9.6,3.74,2.16,0.6,0.69,7.18
345,Battlefield 1,PS4,2016,Oct,21,undefined,Electronic Arts  ,EA DICE  ,9.1,,2.2,3.65,0.29,1.12,7.26
346,Battlefield 3,PS3,2011,Oct,25,undefined,Electronic Arts  ,Dice  ,8.5,,2.86,2.94,0.35,1.07,7.21
347,Need for Speed Underground,PS2,2003,Nov,17,undefined,Electronic Arts  ,EA Black Box  ,8.6,,3.27,2.83,0.08,1.02,7.2
348,Megami Tensei,Series,2004,Oct,12,undefined,Atlus  ,Atlus|Arc System Works|CAVE|Lancarse|Multimedia Intelligence Transfer|Nex Entertainment|Sega  ,,,,,,,
